DATE,MRTSSM445USN
1992-01-01,29589
1992-02-01,28570
1992-03-01,29682
1992-04-01,30228
1992-05-01,31677
1992-06-01,30769
1992-07-01,32402
1992-08-01,31469
1992-09-01,30162
1992-10-01,31407
1992-11-01,30388
1992-12-01,34170
1993-01-01,30039
1993-02-01,28126
1993-03-01,30455
1993-04-01,30820
1993-05-01,31891
1993-06-01,31352
1993-07-01,33029
1993-08-01,31215
1993-09-01,30622
1993-10-01,31223
1993-11-01,30803
1993-12-01,34941
1994-01-01,30251
1994-02-01,28514
1994-03-01,31920
1994-04-01,31208
1994-05-01,32215
1994-06-01,32537
1994-07-01,33288
1994-08-01,32613
1994-09-01,31860
1994-10-01,31846
1994-11-01,31915
1994-12-01,36173
1995-01-01,31039
1995-02-01,29132
1995-03-01,32361
1995-04-01,31792
1995-05-01,33178
1995-06-01,33060
1995-07-01,33520
1995-08-01,33279
1995-09-01,32177
1995-10-01,31830
1995-11-01,32508
1995-12-01,36510
1996-01-01,31733
1996-02-01,30778
1996-03-01,33060
1996-04-01,32158
1996-05-01,34382
1996-06-01,33452
1996-07-01,34426
1996-08-01,34841
1996-09-01,32214
1996-10-01,33524
1996-11-01,34045
1996-12-01,36460
1997-01-01,33175
1997-02-01,30538
1997-03-01,34446
1997-04-01,32637
1997-05-01,35522
1997-06-01,33570
1997-07-01,35396
1997-08-01,35191
1997-09-01,33039
1997-10-01,34401
1997-11-01,34128
1997-12-01,37330
1998-01-01,33440
1998-02-01,30661
1998-03-01,33392
1998-04-01,33926
1998-05-01,35722
1998-06-01,34351
1998-07-01,36390
1998-08-01,35388
1998-09-01,34037
1998-10-01,35421
1998-11-01,34557
1998-12-01,39240
1999-01-01,34300
1999-02-01,32175
1999-03-01,35502
1999-04-01,35121
1999-05-01,37055
1999-06-01,35791
1999-07-01,37981
1999-08-01,36105
1999-09-01,35734
1999-10-01,36164
1999-11-01,35833
1999-12-01,41938
2000-01-01,34190
2000-02-01,33507
2000-03-01,36459
2000-04-01,36321
2000-05-01,37627
2000-06-01,37469
2000-07-01,38160
2000-08-01,37768
2000-09-01,36768
2000-10-01,36614
2000-11-01,37629
2000-12-01,42252
2001-01-01,36332
2001-02-01,34585
2001-03-01,38321
2001-04-01,37122
2001-05-01,39793
2001-06-01,39006
2001-07-01,39182
2001-08-01,39683
2001-09-01,37821
2001-10-01,38375
2001-11-01,39151
2001-12-01,43058
2002-01-01,37662
2002-02-01,35215
2002-03-01,39485
2002-04-01,36629
2002-05-01,40390
2002-06-01,38715
2002-07-01,39773
2002-08-01,39918
2002-09-01,37068
2002-10-01,38461
2002-11-01,39501
2002-12-01,42039
2003-01-01,38602
2003-02-01,35581
2003-03-01,38721
2003-04-01,38478
2003-05-01,41032
2003-06-01,38969
2003-07-01,41076
2003-08-01,40670
2003-09-01,38396
2003-10-01,39828
2003-11-01,39767
2003-12-01,43265
2004-01-01,39978
2004-02-01,37184
2004-03-01,39604
2004-04-01,39857
2004-05-01,41918
2004-06-01,40447
2004-07-01,42512
2004-08-01,40617
2004-09-01,40270
2004-10-01,41050
2004-11-01,41018
2004-12-01,45925
2005-01-01,40592
2005-02-01,37829
2005-03-01,42159
2005-04-01,40917
2005-05-01,42964
2005-06-01,42445
2005-07-01,43688
2005-08-01,42816
2005-09-01,41985
2005-10-01,42420
2005-11-01,42710
2005-12-01,47959
2006-01-01,41168
2006-02-01,39281
2006-03-01,42901
2006-04-01,42455
2006-05-01,44850
2006-06-01,44052
2006-07-01,44899
2006-08-01,44784
2006-09-01,43148
2006-10-01,43709
2006-11-01,44640
2006-12-01,49345
2007-01-01,43498
2007-02-01,41044
2007-03-01,45254
2007-04-01,43562
2007-05-01,47042
2007-06-01,46140
2007-07-01,46416
2007-08-01,46670
2007-09-01,44719
2007-10-01,45553
2007-11-01,46809
2007-12-01,51130
2008-01-01,45794
2008-02-01,44062
2008-03-01,47064
2008-04-01,45386
2008-05-01,49605
2008-06-01,47134
2008-07-01,49156
2008-08-01,49035
2008-09-01,46028
2008-10-01,47737
2008-11-01,47675
2008-12-01,50600
2009-01-01,47103
2009-02-01,42602
2009-03-01,45731
2009-04-01,46450
2009-05-01,49142
2009-06-01,46954
2009-07-01,48915
2009-08-01,47863
2009-09-01,46219
2009-10-01,47895
2009-11-01,47405
2009-12-01,52139
2010-01-01,47072
2010-02-01,44275
2010-03-01,48123
2010-04-01,47050
2010-05-01,49655
2010-06-01,47813
2010-07-01,49732
2010-08-01,48357
2010-09-01,47478
2010-10-01,48583
2010-11-01,48842
2010-12-01,53550
2011-01-01,48438
2011-02-01,45575
2011-03-01,49729
2011-04-01,50588
2011-05-01,51441
2011-06-01,51040
2011-07-01,52522
2011-08-01,51575
2011-09-01,49925
2011-10-01,50887
2011-11-01,51352
2011-12-01,56065
2012-01-01,49834
2012-02-01,48850
2012-03-01,52549
2012-04-01,50842
2012-05-01,53955
2012-06-01,52702
2012-07-01,52868
2012-08-01,53442
2012-09-01,51123
2012-10-01,52236
2012-11-01,52904
2012-12-01,56900
2013-01-01,51641
2013-02-01,48570
2013-03-01,54222
2013-04-01,50339
2013-05-01,55212
2013-06-01,53202
2013-07-01,54467
2013-08-01,55047
2013-09-01,51680
2013-10-01,53673
2013-11-01,54684
2013-12-01,58110
2014-01-01,54048
2014-02-01,49913
2014-03-01,54313
2014-04-01,54180
2014-05-01,57764
2014-06-01,55247
2014-07-01,57377
2014-08-01,57269
2014-09-01,54264
2014-10-01,56800
2014-11-01,56852
2014-12-01,61138
2015-01-01,56540
2015-02-01,51943
2015-03-01,56508
2015-04-01,55480
2015-05-01,59074
2015-06-01,56625
2015-07-01,59103
2015-08-01,57785
2015-09-01,55633
2015-10-01,57575
2015-11-01,57008
2015-12-01,62107
2016-01-01,56918
2016-02-01,54153
2016-03-01,58113
2016-04-01,56309
2016-05-01,59281
2016-06-01,58535
2016-07-01,59831
2016-08-01,58537
2016-09-01,57285
2016-10-01,58477
2016-11-01,58820
2016-12-01,64557
2017-01-01,57169
2017-02-01,53798
2017-03-01,59401
2017-04-01,58711
2017-05-01,61141
2017-06-01,59566
2017-07-01,60593
2017-08-01,60384
2017-09-01,59275
2017-10-01,59773
2017-11-01,61121
2017-12-01,66958
2018-01-01,59562
2018-02-01,55807
2018-03-01,63179
2018-04-01,58982
2018-05-01,63951
2018-06-01,62154
2018-07-01,62797
2018-08-01,63045
2018-09-01,60568
2018-10-01,61986
2018-11-01,63064
